rank,player,position,age,team,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
535,Jalen Wilson,PF,23,BRK,17,1,238,4.7,9.4,0.5,1.7,3.3,0.5,3,6.1,0.5,2.6,2.9,0.895,2.9,3.5,6.4,3.2,0.8,0.2,0.6,2.9,13.6
536,Dylan Windler,SF,27,TOT,10,0,34,5.3,11.6,0.455,5.3,10.6,0.5,0,1.1,0,0,0,NA,0,4.2,4.2,6.4,0,0,0,3.2,15.9
537,James Wiseman,C,22,DET,36,0,512,6.6,9.9,0.667,0,0.1,0,6.6,9.8,0.676,2,3.2,0.609,3.7,6.5,10.2,1.7,0.4,1.6,2.2,5.3,15.2
538,Christian Wood,PF,28,LAL,50,1,872,5.1,10.9,0.466,1.4,4.7,0.307,3.6,6.2,0.587,2.7,3.9,0.702,1.6,8.9,10.5,2,0.7,1.4,2.1,3,14.3
539,Delon Wright,PG,31,WAS,33,0,456,3.8,9.6,0.393,1.1,3,0.368,2.7,6.6,0.405,1.9,2.3,0.828,1,3.6,4.7,6.5,2.8,0.6,0.9,1.7,10.6
540,Thaddeus Young,PF,35,TOT,24,6,369,5.4,8.8,0.611,0.1,0.6,0.167,5.3,8.2,0.643,0.5,1.2,0.417,3.4,4.7,8.1,4.9,1.9,0.3,1.2,4.1,11.3
541,Trae Young,PG,25,ATL,51,51,1862,8.1,19,0.426,3.3,8.8,0.371,4.8,10.2,0.473,6.6,7.7,0.856,0.4,2.3,2.7,10.7,1.4,0.2,4.3,2,26
542,Omer Yurtseven,C,25,UTA,30,6,272,5.3,11,0.482,0.4,2,0.2,4.9,9,0.544,0.9,1.7,0.538,4.9,9.5,14.4,1.7,0.5,1.5,3.2,4.6,11.9
543,Cody Zeller,C,31,NOP,37,0,291,2.7,6.7,0.407,0.1,0.4,0.333,2.6,6.3,0.412,2.6,4.3,0.6,4.8,7.2,12,4.3,1,0.5,1.6,4.8,8.2
544,Ivica Zubac,C,26,LAC,45,45,1195,6.8,10.5,0.649,0,0,NA,6.8,10.5,0.649,2.4,3.6,0.667,4.2,8.7,12.9,1.7,0.3,1.7,1.5,3.8,16.1
