rank,player,position,age,team,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
458,Terquavion Smith,PG,21,PHI,12,0,69,8.3,20.9,0.4,6.3,16.2,0.387,2.1,4.7,0.444,1,1.6,0.667,0,1,1,5.2,3.7,0,2.1,2.1,24
459,Jeremy Sochan,PF,20,SAS,57,56,1687,5.5,12.5,0.442,1.2,3.5,0.333,4.4,9.1,0.484,1.8,2.3,0.769,2.3,5.2,7.5,4.3,1,0.5,2.4,2.8,14
460,Jaden Springer,SG-PG,21,TOT,33,1,379,4.4,11.3,0.387,0.8,3.6,0.211,3.6,7.7,0.469,2.7,3.2,0.824,2.4,3.1,5.5,3.3,2.4,1,2.5,4.7,12.2
461,Lamar Stevens,PF,26,TOT,23,1,213,6.8,13.9,0.488,0.8,1.9,0.455,5.9,12,0.493,2.2,3.4,0.65,2.9,7.1,10,1.9,1.4,1.7,2.4,3.5,16.6
462,Isaiah Stewart,PF,22,DET,35,34,1070,4.8,10.2,0.47,1.6,4.4,0.374,3.1,5.8,0.544,1.8,2.4,0.746,2.1,5.9,8,2.1,0.4,0.9,1.8,2.9,13
463,Julian Strawther,SF,21,DEN,37,0,491,5.5,14.5,0.379,2.8,9.1,0.306,2.7,5.4,0.5,1.3,1.8,0.72,0.3,3.5,3.8,2.9,1.2,0.5,1.2,3.5,15.1
464,Max Strus,SF,27,CLE,55,55,1779,5,11.9,0.417,2.6,7.8,0.336,2.3,4.1,0.571,1.1,1.4,0.775,1,4.4,5.4,4.2,1,0.5,1.7,2.9,13.7
465,Jalen Suggs,SG,22,ORL,51,51,1362,5.9,13.2,0.444,2.7,7.2,0.382,3.1,6,0.518,2,2.6,0.76,1,3.4,4.4,3.3,1.9,0.8,2.5,3.8,16.5
466,Cole Swider,SF,24,MIA,10,0,50,6.5,16.6,0.391,3.6,12.2,0.294,2.9,4.3,0.667,1.4,1.4,1,0.7,1.4,2.2,2.9,0.7,0.7,4.3,1.4,18
467,Jae'Sean Tate,SF,28,HOU,52,9,902,3.7,7.9,0.47,0.8,2.8,0.304,2.9,5.1,0.558,0.9,1.3,0.688,2.1,4.8,6.9,2.2,1.5,0.4,1,4.9,9.1
468,Jayson Tatum,PF,25,BOS,53,53,1895,9.3,19.5,0.475,3.1,8.5,0.366,6.2,11,0.559,5.6,6.8,0.821,0.9,7.7,8.6,4.8,1,0.6,2.5,2,27.3
469,Terry Taylor,PF,24,CHI,19,0,134,4,7.5,0.536,0.3,1.9,0.143,3.8,5.6,0.667,0.3,0.3,1,3.8,3.5,7.3,1.9,1.1,0.5,1.9,3.5,8.6
470,Garrett Temple,SG,37,TOR,16,0,69,4.2,11,0.381,1,4.7,0.222,3.1,6.3,0.5,2.6,3.1,0.833,2.6,3.1,5.7,3.1,1.6,0,2.6,3.1,12
471,Dalen Terry,SG,21,CHI,36,1,362,3.1,7.7,0.403,1,4.3,0.233,2.1,3.4,0.618,1.7,2.4,0.708,1.3,4.7,6,4.5,1.1,0.8,1.7,4.7,8.9
472,Daniel Theis,C,31,TOT,40,1,671,5.4,10.1,0.534,0.9,2.1,0.41,4.6,8,0.567,1.7,2.3,0.721,3.1,4.6,7.7,2.1,1,1.9,1.4,5,13.4
473,Cam Thomas,SG,22,BRK,46,31,1366,9.2,21,0.44,2.5,6.8,0.362,6.8,14.2,0.478,4.7,5.6,0.84,0.4,3,3.4,3.2,0.9,0.3,2.2,2.5,25.6
474,Amen Thompson,SF,21,HOU,37,6,733,6,11.4,0.524,0.3,2.1,0.163,5.6,9.3,0.605,2.5,3.9,0.638,3.2,7,10.2,4.5,2.1,1,2.8,4.1,14.8
475,Ausar Thompson,SF,21,DET,55,30,1333,5.5,11.2,0.486,0.4,2.3,0.151,5.1,8.9,0.573,1.6,2.7,0.604,3.3,6.4,9.6,2.8,1.5,1.4,1.9,4.2,12.9
476,Klay Thompson,SF,33,GSW,52,49,1578,7.1,17.1,0.417,3.8,10.2,0.372,3.3,6.9,0.485,2,2.2,0.918,0.6,3.6,4.2,2.7,0.7,0.6,1.8,2.1,20.1
477,Tristan Thompson,PF,32,CLE,36,0,446,4.9,7.6,0.649,0,0.1,0,4.9,7.5,0.656,1,3.4,0.31,4.8,6.5,11.3,3.2,0.6,0.9,1.9,4,10.9
478,JT Thor,PF,21,CHO,44,1,576,3.2,8.7,0.367,1.2,3.7,0.317,2,4.9,0.405,0.4,0.8,0.538,2.4,4.4,6.8,1.1,0.5,1.1,0.7,2.7,8
479,Matisse Thybulle,SF,26,POR,53,19,1217,2.9,7.5,0.384,2,5.8,0.344,0.9,1.8,0.517,0.5,0.6,0.8,0.7,2.3,3,2,2.6,1.2,0.8,2.2,8.3
480,Xavier Tillman Sr.,C-PF,25,TOT,35,13,703,4.5,11,0.411,0.6,2.7,0.226,3.9,8.2,0.472,0.9,2.2,0.419,2.9,5.2,8,2.9,2.2,1.8,1.5,3.1,10.5
481,Jacob Toppin,SF,23,NYK,6,0,33,5.5,9.8,0.556,1.1,4.4,0.25,4.4,5.5,0.8,2.2,2.2,1,3.3,3.3,6.5,2.2,0,1.1,1.1,3.3,14.2
482,Obi Toppin,PF,25,IND,57,28,1275,6.7,11.9,0.567,2.1,5.1,0.408,4.7,6.8,0.685,1.6,2.2,0.74,1.8,4.5,6.3,2.5,0.8,0.8,1.4,2.9,17.1
483,Juan Toscano-Anderson,SF,30,SAC,11,0,53,2,8.2,0.25,0.7,2.7,0.25,1.4,5.4,0.25,0,0,NA,2.7,6.8,9.5,2.7,0.7,0.7,1.4,7.5,4.8
